Date ut MET
20120702 0.0 249674666.077232
20120703 0.0 249761066.076392
20120704 0.0 249847466.075596
20120705 0.0 249933866.074807
20120706 0.0 250020266.074005
20120707 0.0 250106666.073239
20120708 0.0 250193066.07249
20120709 0.0 250279466.071745
20120710 0.0 250365866.071002
20120711 0.0 250452266.070264
20120712 0.0 250538666.069533
20120713 0.0 250625066.068812
20120714 0.0 250711466.06806
20120715 0.0 250797866.067317
20120716 0.0 250884266.066565
20120717 0.0 250970666.065805
20120718 0.0 251057066.065037
20120719 0.0 251143466.064256
20120720 0.0 251229866.063473
20120721 0.0 251316266.062647
20120722 0.0 251402666.061814
20120723 0.0 251489066.060961
20120724 0.0 251575466.060094
20120725 0.0 251661866.059182
20120726 0.0 251748266.058249
20120727 0.0 251834666.057283
20120728 0.0 251921066.056285
20120729 0.0 252007466.055253
20120730 0.0 252093866.054181
20120731 0.0 252180266.053059
20120801 0.0 252266666.051896
20120802 0.0 252353066.050688
20120803 0.0 252439466.04943
20120804 0.0 252525866.048122
20120805 0.0 252612266.046746
20120806 0.0 252698666.045311
20120807 0.0 252785066.043809
20120808 0.0 252871466.042246
20120809 0.0 252957866.040618
20120810 0.0 253044266.038917
20120811 0.0 253130666.037149
20120812 0.0 253217066.035302
20120813 0.0 253303466.033381
20120814 0.0 253389866.03139
20120815 0.0 253476266.029323
20120816 0.0 253562666.027184
20120817 0.0 253649066.024995
20120818 0.0 253735466.022691
20120819 0.0 253821866.020347
20120820 0.0 253908266.017945
20120821 0.0 253994666.015487
20120822 0.0 254081066.012975
20120823 0.0 254167466.010415
20120824 0.0 254253866.007847
20120825 0.0 254340266.00526
20120826 0.0 254426666.002673
20120827 0.0 254513066.000093
20120828 0.0 254599465.997526
20120829 0.0 254685865.994998
20120830 0.0 254772265.992515
20120831 0.0 254858665.990075
20120901 0.0 254945065.987698
20120902 0.0 255031465.985385
20120903 0.0 255117865.983145
20120904 0.0 255204265.980975
20120905 0.0 255290665.97888
20120906 0.0 255377065.976864
20120907 0.0 255463465.974922
20120908 0.0 255549865.97306
20120909 0.0 255636265.971263
20120910 0.0 255722665.969545
20120911 0.0 255809065.96791
20120912 0.0 255895465.96634
20120913 0.0 255981865.964832
20120914 0.0 256068265.963395
20120915 0.0 256154665.962013
20120916 0.0 256241065.960682
20120917 0.0 256327465.959411
20120918 0.0 256413865.958191
20120919 0.0 256500265.957023
20120920 0.0 256586665.955908
20120921 0.0 256673065.95482
20120922 0.0 256759465.953773
20120923 0.0 256845865.952769
20120924 0.0 256932265.951806
20120925 0.0 257018665.95088
20120926 0.0 257105065.949998
20120927 0.0 257191465.949114
20120928 0.0 257277865.948258
20120929 0.0 257364265.947404
20120930 0.0 257450665.946596
20121001 0.0 257537065.945808
20121002 0.0 257623465.945026
20121003 0.0 257709865.94429
20121004 0.0 257796265.943506
20121005 0.0 257882665.94276
20121006 0.0 257969065.942019
20121007 0.0 258055465.941284
20121008 0.0 258141865.940553
20121009 0.0 258228265.939829
20121010 0.0 258314665.939091
20121011 0.0 258401065.938348
20121012 0.0 258487465.937612
20121013 0.0 258573865.936849
20121014 0.0 258660265.936086
20121015 0.0 258746665.935317
20121016 0.0 258833065.934534
20121017 0.0 258919465.933728
20121018 0.0 259005865.932907
20121019 0.0 259092265.932052
20121020 0.0 259178665.931189
20121021 0.0 259265065.930283
20121022 0.0 259351465.929357
20121023 0.0 259437865.928408
20121024 0.0 259524265.927417
20121025 0.0 259610665.926392
20121026 0.0 259697065.92533
20121027 0.0 259783465.924222
20121028 0.0 259869865.923072
20121029 0.0 259956265.921874
20121030 0.0 260042665.920624
20121031 0.0 260129065.91932
20121101 0.0 260215465.917958
20121102 0.0 260301865.916536
20121103 0.0 260388265.91505
20121104 0.0 260474665.9135
20121105 0.0 260561065.911879
20121106 0.0 260647465.910188
20121107 0.0 260733865.90843
20121108 0.0 260820265.9066
20121109 0.0 260906665.904694
20121110 0.0 260993065.902713
20121111 0.0 261079465.90066
20121112 0.0 261165865.898532
20121113 0.0 261252265.896333
20121114 0.0 261338665.894062
20121115 0.0 261425065.891703
20121116 0.0 261511465.889336
20121117 0.0 261597865.886883
20121118 0.0 261684265.884369
20121119 0.0 261770665.881848
20121120 0.0 261857065.879282
20121121 0.0 261943465.876703
20121122 0.0 262029865.87412
20121123 0.0 262116265.871549
20121124 0.0 262202665.868998
20121125 0.0 262289065.866482
20121126 0.0 262375465.864007
20121127 0.0 262461865.861592
20121128 0.0 262548265.859228
20121129 0.0 262634665.856935
20121130 0.0 262721065.854706
20121201 0.0 262807465.852567
20121202 0.0 262893865.850516
20121203 0.0 262980265.848491
20121204 0.0 263066665.846566
20121205 0.0 263153065.844721
20121206 0.0 263239465.842976
20121207 0.0 263325865.841255
20121208 0.0 263412265.839631
20121209 0.0 263498665.838073
20121210 0.0 263585065.836573
20121211 0.0 263671465.835141
20121212 0.0 263757865.83377
20121213 0.0 263844265.832459
20121214 0.0 263930665.831205
20121215 0.0 264017065.829991
20121216 0.0 264103465.828834
20121217 0.0 264189865.827724
20121218 0.0 264276265.826649
20121219 0.0 264362665.825624
20121220 0.0 264449065.824632
20121221 0.0 264535465.823673
20121222 0.0 264621865.822768
20121223 0.0 264708265.821869
20121224 0.0 264794665.820974
20121225 0.0 264881065.82013
20121226 0.0 264967465.819303
20121227 0.0 265053865.818497
20121228 0.0 265140265.817708
20121229 0.0 265226665.816941
20121230 0.0 265313065.816178
20121231 0.0 265399465.815429
20130101 0.0 265485865.814704
20130102 0.0 265572265.813944
20130103 0.0 265658665.813209
20130104 0.0 265745065.812476
20130105 0.0 265831465.81175
20130106 0.0 265917865.811017
20130107 0.0 266004265.81028
20130108 0.0 266090665.809535
20130109 0.0 266177064.808798
20130110 0.0 266263464.808027
20130111 0.0 266349864.80724
20130112 0.0 266436264.806447
20130113 0.0 266522664.805631
20130114 0.0 266609064.804799
20130115 0.0 266695464.80395
20130116 0.0 266781864.803067
20130117 0.0 266868264.802167
20130118 0.0 266954664.801223
20130119 0.0 267041064.800261
20130120 0.0 267127464.799264
20130121 0.0 267213864.798228
20130122 0.0 267300264.797154
20130123 0.0 267386664.79604
20130124 0.0 267473064.794879
20130125 0.0 267559464.79367
20130126 0.0 267645864.792409
20130127 0.0 267732264.791091
20130128 0.0 267818664.789711
20130129 0.0 267905064.788273
20130130 0.0 267991464.786772
20130131 0.0 268077864.785181
20130201 0.0 268164264.783569
20130202 0.0 268250664.781864
20130203 0.0 268337064.780085
20130204 0.0 268423464.778229
20130205 0.0 268509864.776299
20130206 0.0 268596264.774292
20130207 0.0 268682664.772211
20130208 0.0 268769064.770065
20130209 0.0 268855464.767838
20130210 0.0 268941864.765541
20130211 0.0 269028264.763179
20130212 0.0 269114664.760758
20130213 0.0 269201064.75828
20130214 0.0 269287464.755752
20130215 0.0 269373864.753187
20130216 0.0 269460264.750599
20130217 0.0 269546664.747996
20130218 0.0 269633064.745389
20130219 0.0 269719464.742792
20130220 0.0 269805864.740219
20130221 0.0 269892264.737692
20130222 0.0 269978664.73521
20130223 0.0 270065064.732734
20130224 0.0 270151464.730343
20130225 0.0 270237864.728018
20130226 0.0 270324264.725763
20130227 0.0 270410664.723584
20130228 0.0 270497064.721475
20130301 0.0 270583464.719444
20130302 0.0 270669864.71749
20130303 0.0 270756264.715606
20130304 0.0 270842664.713798
20130305 0.0 270929064.712062
20130306 0.0 271015464.710393
20130307 0.0 271101864.708791
20130308 0.0 271188264.707252
20130309 0.0 271274664.705776
20130310 0.0 271361064.704357
20130311 0.0 271447464.702996
20130312 0.0 271533864.701693
20130313 0.0 271620264.70044
20130314 0.0 271706664.699235
20130315 0.0 271793064.698074
20130316 0.0 271879464.696953
20130317 0.0 271965864.695905
20130318 0.0 272052264.694838
20130319 0.0 272138664.693837
20130320 0.0 272225064.692878
20130321 0.0 272311464.691934
20130322 0.0 272397864.690989
20130323 0.0 272484264.690085
20130324 0.0 272570664.68923
20130325 0.0 272657064.688347
20130326 0.0 272743464.687505
20130327 0.0 272829864.686679
20130328 0.0 272916264.685862
20130329 0.0 273002664.685055
20130330 0.0 273089064.684277
20130331 0.0 273175464.683484
20130401 0.0 273261864.682667
20130402 0.0 273348264.681884
20130403 0.0 273434664.681091
20130404 0.0 273521064.680289
20130405 0.0 273607464.679485
20130406 0.0 273693864.678694
20130407 0.0 273780264.677849
20130408 0.0 273866664.677012
20130409 0.0 273953064.676173
20130410 0.0 274039464.675311
20130411 0.0 274125864.674439
20130412 0.0 274212264.673564
20130413 0.0 274298664.672641
20130414 0.0 274385064.671728
20130415 0.0 274471464.670743
20130416 0.0 274557864.669752
20130417 0.0 274644264.668723
20130418 0.0 274730664.667662
20130419 0.0 274817064.666566
20130420 0.0 274903464.665426
20130421 0.0 274989864.664243
20130422 0.0 275076264.663018
20130423 0.0 275162664.661739
20130424 0.0 275249064.660409
20130425 0.0 275335464.659004
20130426 0.0 275421864.657584
20130427 0.0 275508264.656082
20130428 0.0 275594664.654516
20130429 0.0 275681064.652887
20130430 0.0 275767464.651187
20130501 0.0 275853864.649419
20130502 0.0 275940264.647578
20130503 0.0 276026664.645658
20130504 0.0 276113064.643665
20130505 0.0 276199464.641594
20130506 0.0 276285864.639444
20130507 0.0 276372264.637223
20130508 0.0 276458664.634927
20130509 0.0 276545064.632562
20130510 0.0 276631464.630128
20130511 0.0 276717864.627608
20130512 0.0 276804264.625034
20130513 0.0 276890664.62246
20130514 0.0 276977064.619885
20130515 0.0 277063464.617246
20130516 0.0 277149864.614596
20130517 0.0 277236264.611929
20130518 0.0 277322664.609263
20130519 0.0 277409064.606631
20130520 0.0 277495464.604031
20130521 0.0 277581864.601474
20130522 0.0 277668264.598973
20130523 0.0 277754664.596523
20130524 0.0 277841064.594142
20130525 0.0 277927464.591833
20130526 0.0 278013864.589599
20130527 0.0 278100264.587441
20130528 0.0 278186664.585354
20130529 0.0 278273064.583358
20130530 0.0 278359464.581412
20130531 0.0 278445864.579549
20130601 0.0 278532264.57776
20130602 0.0 278618664.576039
20130603 0.0 278705064.574385
20130604 0.0 278791464.572809
20130605 0.0 278877864.571285
20130606 0.0 278964264.569815
20130607 0.0 279050664.568397
20130608 0.0 279137064.567047
20130609 0.0 279223464.565736
20130610 0.0 279309864.564477
20130611 0.0 279396264.563262
20130612 0.0 279482664.562097
20130613 0.0 279569064.560962
20130614 0.0 279655464.559873
20130615 0.0 279741864.558816
20130616 0.0 279828264.55778
20130617 0.0 279914664.556782
20130618 0.0 280001064.555806
20130619 0.0 280087464.554859
20130620 0.0 280173864.553941
20130621 0.0 280260264.553024
