Date0 ut0 Date1 ut1 DateMid utMid ctype x y z xo yo zo xi yi zi source
20110412 17.499 20110412 17.574 20110412 17.536499 o -1.559 0.51699996 -2.82895 -1.5432 0.4939 -2.9301 -1.5748 0.5401 -2.7278 w
20110413 4.323 20110413 4.364 20110413 4.3435 i 0.6851 -0.2389 1.0203 0.7695 -0.2912 1.0102 0.6007 -0.1866 1.0304 w
20110413 5.492 20110413 5.52 20110413 5.506 o -1.58205 0.62479997 -2.53955 -1.578 0.6166 -2.5803 -1.5861 0.633 -2.4988 w
20110413 16.312 20110413 16.338 20110413 16.325 i 1.0202501 -0.48795 0.94775 1.065 -0.5187 0.9338 0.9755 -0.4572 0.9617 w
20110413 17.608 20110413 17.66 20110413 17.633999 o -1.5483501 0.63600004 -2.695 -1.5397 0.62 -2.767 -1.557 0.652 -2.623 w
20110414 4.384 20110414 4.395 20110414 4.3894997 i 1.0346 -0.5365 0.93939996 1.0532 -0.5501 0.9332 1.016 -0.5229 0.9456 w
20110414 5.526 20110414 5.611 20110414 5.5685 o -1.5627 0.76094997 -2.2870998 -1.5569 0.7378 -2.4171 -1.5685 0.7841 -2.1571 w
20110414 16.411 20110414 16.434 20110414 16.4225 i 1.14925 -0.66585004 0.8901 1.1851 -0.694 0.8751 1.1134 -0.6377 0.9051 w
20110414 17.704 20110414 17.79 20110414 17.747002 o -1.5221 0.7422 -2.6006498 -1.5109 0.7156 -2.7231 -1.5333 0.7688 -2.4782 w
20110415 4.552 20110415 4.573 20110415 4.5625 i 0.90975 -0.51555 0.96965003 0.9468 -0.5456 0.9589 0.8727 -0.4855 0.9804 w
20110415 5.826 20110415 5.834 20110415 5.83 o -1.50105 0.77825 -2.6307502 -1.5001 0.7759 -2.6414 -1.502 0.7806 -2.6201 w
20110415 16.581 20110415 16.622 20110415 16.6015 i 1.0035 -0.63304996 0.93295 1.07 -0.6907 0.9085 0.937 -0.5754 0.9574 w
20110415 17.822 20110415 17.931 20110415 17.8765 o -1.48475 0.8349 -2.5519 -1.4735 0.8007 -2.7106 -1.496 0.8691 -2.3932 w
20110416 4.694 20110416 4.739 20110416 4.7165 i 0.85015 -0.53615 0.97755 0.9245 -0.6031 0.9565 0.7758 -0.4692 0.9986 w
