Date0 ut0 Date1 ut1 DateMid utMid ctype x y z xo yo zo xi yi zi source
20110419 7.142 20110419 7.144 20110419 7.143 o -1.0587499 0.46265 -4.30585 -1.0582 0.4616 -4.3079 -1.0593 0.4637 -4.3038 w
20110419 16.864 20110419 16.868 20110419 16.866001 i 1.4901 -1.71855 0.41015 1.4937 -1.7238 0.4058 1.4865 -1.7133 0.4145 w
20110419 18.966 20110419 19.023 20110419 18.9945 o -1.1449499 0.69675004 -3.87295 -1.1333 0.6704 -3.9331 -1.1566 0.7231 -3.8128 w
20110420 5.005 20110420 5.022 20110420 5.0135 i 1.3226 -1.5666001 0.5545 1.3367 -1.588 0.5392 1.3085 -1.5452 0.5698 w
20110420 7.087 20110420 7.193 20110420 7.14 o -1.0987 0.65830004 -4.0204 -1.0772 0.6085 -4.1264 -1.1202 0.7081 -3.9144 w
20110420 17.073 20110420 17.127 20110420 17.1 i 1.25735 -1.5595 0.58085 1.3027 -1.6319 0.5314 1.212 -1.4871 0.6303 w
20110420 19.113 20110420 19.262 20110420 19.1875 o -1.09125 0.70925 -3.9699 -1.0635 0.6391 -4.1207 -1.119 0.7794 -3.8191 w
20110421 4.991 20110421 5.021 20110421 5.006 i 1.4578 -2.00695 0.2586 1.4766 -2.0405 0.229 1.439 -1.9734 0.2882 w
20110421 7.302 20110421 7.485 20110421 7.3935003 o -1.02415 0.60805 -4.2292 -0.9887 0.5189 -4.4005 -1.0596 0.6972 -4.0579 w
20110421 16.969 20110421 17.088 20110421 17.0285 i 1.4632001 -2.15105 0.15685001 1.531 -2.2813 0.036 1.3954 -2.0208 0.2777 w
20110421 19.673 20110421 19.768 20110421 19.7205 o -0.90985 0.37895 -4.6778 -0.8899 0.3306 -4.755 -0.9298 0.4273 -4.6006 w
20110422 5.026 20110422 5.035 20110422 5.0305 i 1.48375 -2.3402 0.0144 1.4884 -2.3499 0.0047 1.4791 -2.3305 0.0241 w
20110422 7.932 20110422 8.158 20110422 8.045 o -0.79585004 0.14130001 -5.0555496 -0.7469 0.0234 -5.2155 -0.8448 0.2592 -4.8956 w
20110422 17.16 20110422 17.351 20110422 17.2555 i 1.2585 -2.0182 0.3211 1.3691 -2.2524 0.1323 1.1479 -1.784 0.5099 w
20110422 19.721 20110422 19.818 20110422 19.7695 o -0.92575 0.52435 -4.5172 -0.9087 0.4744 -4.6006 -0.9428 0.5743 -4.4338 w
20110423 5.197 20110423 5.204 20110423 5.2005 i 1.34285 -2.3562 0.0663 1.346 -2.3637 0.0592 1.3397 -2.3487 0.0734 w
20110423 8.088 20110423 8.193 20110423 8.1405 o -0.8081 0.2337 -4.99025 -0.7885 0.1781 -5.0664 -0.8277 0.2893 -4.9141 w
20110423 17.29 20110423 17.307 20110423 17.2985 i 1.26115 -2.3301 0.120000005 1.2687 -2.3491 0.1027 1.2536 -2.3111 0.1373 w
20110423 20.151 20110423 20.24 20110423 20.1955 o -0.8089 0.27325 -4.9646 -0.7935 0.2257 -5.0299 -0.8243 0.3208 -4.8993 w
20110424 5.374 20110424 5.512 20110424 5.443 i 1.1357 -2.1819 0.26615 1.2003 -2.352 0.1273 1.0711 -2.0118 0.405 w
20110424 7.616 20110424 7.771 20110424 7.6935 o -0.95554996 0.89164996 -3.97015 -0.9399 0.8153 -4.1263 -0.9712 0.968 -3.814 w
20110424 17.535 20110424 17.591 20110424 17.563 i 1.0413 -2.0928 0.3623 1.0676 -2.1662 0.3068 1.015 -2.0194 0.4178 w
20110424 19.68 20110424 19.805 20110424 19.7425 o -0.93805003 0.9382 -3.92495 -0.9273 0.8764 -4.0532 -0.9488 1.0 -3.7967 w
20110425 5.568 20110425 5.602 20110425 5.585 i 1.0321 -2.24645 0.26250002 1.0458 -2.2887 0.2284 1.0184 -2.2042 0.2966 w
20110425 7.826 20110425 7.979 20110425 7.9025 o -0.90094995 0.87275 -4.10005 -0.8879 0.7951 -4.2491 -0.914 0.9504 -3.951 w
20110425 17.586 20110425 17.59 20110425 17.588001 i 1.0256 -2.4371 0.1232 1.0269 -2.4416 0.1192 1.0243 -2.4326 0.1272 w
20110425 20.349 20110425 20.51 20110425 20.4295 o -0.79235 0.4122 -4.88315 -0.7738 0.3247 -5.0044 -0.8109 0.4997 -4.7619 w
20110426 5.599 20110426 5.697 20110426 5.648 i 0.97225 -2.4873 0.0971 1.0016 -2.6004 -0.003 0.9429 -2.3742 0.1972 w
20110426 8.464 20110426 8.487 20110426 8.4755 o -0.7882 0.46115 -4.8457 -0.7859 0.4484 -4.8636 -0.7905 0.4739 -4.8278 w
20110426 17.724 20110426 17.782 20110426 17.753 i 0.89345 -2.4328 0.16525 0.9102 -2.5032 0.1059 0.8767 -2.3624 0.2246 w
20110426 20.099 20110426 20.279 20110426 20.189 o -0.82825 0.86535 -4.2328 -0.8182 0.7715 -4.4016 -0.8383 0.9592 -4.064 w
20110427 5.704 20110427 5.782 20110427 5.743 i 0.87329996 -2.6435 -0.0033500008 0.8908 -2.7304 -0.084 0.8558 -2.5566 0.0773 w
20110427 8.469 20110427 8.58 20110427 8.5245 o -0.77849996 0.6038 -4.6954 -0.7711 0.5432 -4.7852 -0.7859 0.6644 -4.6056 w
20110427 17.739 20110427 17.744 20110427 17.7415 i 0.8363 -2.82225 -0.15445 0.8373 -2.8283 -0.1605 0.8353 -2.8162 -0.1484 w
