Date x y z r
20080802 0.1124561 0.32654953 0.000465922 0.3453711
20080803 0.08523467 0.34036866 -0.0013149619 0.35088104
20080804 0.057428163 0.35185808 -0.0030869402 0.35652718
20080805 0.029245362 0.36105147 -0.0048388625 0.3622663
20080806 0.00087919313 0.36799878 -0.0065607643 0.36805832
20080807 -0.02749352 0.372763 -0.008243821 0.37386644
20080808 -0.055711836 0.37541714 -0.009880282 0.37965703
20080809 -0.083630115 0.3760418 -0.011463395 0.3853996
20080810 -0.111117244 0.374723 -0.012987324 0.39106655
20080811 -0.13805565 0.3715504 -0.01444706 0.39663306
20080812 -0.16434033 0.36661595 -0.015838342 0.40207693
20080813 -0.1898778 0.3600126 -0.017157575 0.40737823
20080814 -0.21458499 0.35183355 -0.018401757 0.4125193
20080815 -0.23838839 0.34217137 -0.019568413 0.41748437
20080816 -0.26122302 0.33111763 -0.020655528 0.4222594
20080817 -0.28303158 0.31876242 -0.021661494 0.42683202
20080818 -0.3037637 0.3051941 -0.02258506 0.43119127
20080819 -0.32337508 0.29049918 -0.02342529 0.4353274
20080820 -0.341827 0.27476215 -0.02418152 0.43923193
20080821 -0.35908568 0.25806555 -0.02485333 0.44289732
20080822 -0.37512165 0.24048981 -0.025440507 0.44631696
20080823 -0.38990945 0.22211352 -0.025943024 0.44948506
20080824 -0.403427 0.20301335 -0.026361022 0.4523966
20080825 -0.41565552 0.18326426 -0.026694784 0.45504716
20080826 -0.42657897 0.16293953 -0.026944727 0.457433
20080827 -0.43618384 0.14211097 -0.02711138 0.45955077
20080828 -0.44445902 0.120849036 -0.02719538 0.46139777
20080829 -0.45139545 0.09922296 -0.027197463 0.46297166
20080830 -0.45698607 0.07730095 -0.027118456 0.4642705
20080831 -0.46122557 0.05515031 -0.02695927 0.46529278
20080901 -0.46411037 0.03283763 -0.0267209 0.4660373
20080902 -0.46563858 0.010428917 -0.02640442 0.4665032
20080903 -0.46580973 -0.012010209 -0.02601099 0.46668994
20080904 -0.464625 -0.034414377 -0.025541846 0.46659738
20080905 -0.462087 -0.056718294 -0.024998307 0.46622556
20080906 -0.45819992 -0.07885659 -0.024381787 0.46557492
20080907 -0.45296952 -0.10076363 -0.023693785 0.4646462
20080908 -0.44640312 -0.122373395 -0.0229359 0.46344045
20080909 -0.43850982 -0.14361931 -0.022109844 0.4619591
20080910 -0.42930052 -0.1644341 -0.021217436 0.46020395
20080911 -0.41878805 -0.18474959 -0.020260623 0.45817718
20080912 -0.40698743 -0.2044966 -0.019241491 0.45588142
20080913 -0.39391592 -0.22360486 -0.018162282 0.45331973
20080914 -0.37959346 -0.24200274 -0.017025396 0.45049572
20080915 -0.3640427 -0.25961727 -0.015833424 0.4474136
20080916 -0.3472895 -0.27637392 -0.014589161 0.44407815
20080917 -0.3293632 -0.29219663 -0.013295623 0.4404949
20080918 -0.310297 -0.3070076 -0.011956079 0.43667018
20080919 -0.29012853 -0.32072744 -0.010574071 0.4326112
20080920 -0.26890016 -0.33327496 -0.009153445 0.42832613
20080921 -0.24665977 -0.34456742 -0.0076983827 0.42382425
20080922 -0.22346121 -0.3545205 -0.006213432 0.4191161
20080923 -0.19936515 -0.3630486 -0.0047035445 0.41421357
20080924 -0.17443971 -0.3700651 -0.0031741126 0.40913013
20080925 -0.14876132 -0.37548256 -0.0016310093 0.40388086
20080926 -0.12241562 -0.37921366 -8.062659e-05 0.39848286
20080927 -0.09549837 -0.3811715 0.0014700837 0.3929552
20080928 -0.06811642 -0.38127074 0.0030135727 0.38731936
20080929 -0.04038867 -0.37942865 0.00454166 0.38159922
20080930 -0.012447007 -0.37556657 0.006045507 0.3758214
20081001 0.015562824 -0.3696116 0.007515597 0.3700154
20081002 0.043480493 -0.36149856 0.008941733 0.36421382
20081003 0.07113059 -0.3511726 0.010313053 0.35845238
20081004 0.098322436 -0.3385918 0.011618068 0.35277003
20081005 0.12485039 -0.3237305 0.0128447395 0.34720895
20081006 0.1504947 -0.3065826 0.013980584 0.34181428
20081007 0.17502312 -0.28716543 0.015012837 0.33663404
20081008 0.1981934 -0.26552343 0.015928658 0.3317183
20081009 0.21975686 -0.24173176 0.016715392 0.3271188
20081010 0.23946294 -0.21589972 0.0173609 0.3228879
20081011 0.25706503 -0.18817312 0.01785391 0.31907728
20081012 0.2723271 -0.15873565 0.018184436 0.3157368
20081013 0.2850312 -0.12780896 0.01834419 0.31291282
20081014 0.29498538 -0.09565063 0.018326987 0.31064656
20081015 0.30203125 -0.06255037 0.018129116 0.30897266
20081016 0.30605105 -0.02882418 0.01774962 0.3079174
20081017 0.30697304 0.00519335 0.017190473 0.30749786
20081018 0.30477527 0.039158046 0.01645662 0.30772087
20081019 0.29948673 0.072725944 0.015555874 0.3085828
20081020 0.29118624 0.1055631 0.014498669 0.31006968
20081021 0.2799989 0.13735472 0.013297703 0.31215787
20081022 0.26609057 0.16781293 0.011967488 0.31481516
20081023 0.24966088 0.19668275 0.010523842 0.31800222
20081024 0.23093547 0.22374606 0.008983388 0.32167405
20081025 0.2101579 0.24882355 0.0073630614 0.3257817
20081026 0.18758212 0.2717748 0.0056796824 0.3302739
20081027 0.16346544 0.29249674 0.0039495886 0.33509836
20081028 0.1380627 0.31092122 0.0021883547 0.34020305
20081029 0.11162151 0.32701144 0.0004105822 0.34553728
20081030 0.08437859 0.34075817 -0.0013702344 0.35105234
20081031 0.056557305 0.35217592 -0.00314178 0.3567022
20081101 0.028365957 0.36129892 -0.004892941 0.36244377
20081102 -3.0267583e-06 0.36817762 -0.0066137896 0.36823702
20081103 -0.028373316 0.37287533 -0.008295534 0.37404528
20081104 -0.05658445 0.37546536 -0.009930457 0.37983504
20081105 -0.08449127 0.37602848 -0.011511836 0.38557583
20081106 -0.11196306 0.37465084 -0.013033861 0.39124015
20081107 -0.1388827 0.37142223 -0.014491547 0.39680335
20081108 -0.16514553 0.36643463 -0.015880655 0.4022432
20081109 -0.19065839 0.35978106 -0.017197613 0.4075399
20081110 -0.21533857 0.35155463 -0.018439433 0.41267586
20081111 -0.23911281 0.34184793 -0.019603655 0.4176353
20081112 -0.26191637 0.3307525 -0.020688279 0.42240432
20081113 -0.2836922 0.31835836 -0.021691708 0.42697054
20081114 -0.30439013 0.3047538 -0.022612704 0.43132305
20081115 -0.32396603 0.29002535 -0.023450335 0.4354522
20081116 -0.34238136 0.27425733 -0.02420395 0.43934944
20081117 -0.35960248 0.25753227 -0.024873134 0.44300732
20081118 -0.37560004 0.23993054 -0.025457678 0.44641924
20081119 -0.39034864 0.22153068 -0.025957568 0.44957948
20081120 -0.40382645 0.20240928 -0.026372941 0.45248297
20081121 -0.4160146 0.18264125 -0.02670409 0.45512536
20081122 -0.4268973 0.16229984 -0.026951432 0.4575029
20081123 -0.436461 0.14145681 -0.027115501 0.4596123
20081124 -0.4446947 0.12018256 -0.02719694 0.46145087
20081125 -0.4515894 0.098546304 -0.027196486 0.4630162
20081126 -0.45713812 0.07661621 -0.027114967 0.4643065
20081127 -0.46133557 0.05445957 -0.026953297 0.46532014
20081128 -0.46417826 0.032142937 -0.026712475 0.466056
20081129 -0.4656643 0.009732317 -0.02639358 0.46651322
20081130 -0.4657933 -0.012706688 -0.025997767 0.4666913
20081201 -0.46456647 -0.035108708 -0.025526281 0.46659
20081202 -0.4619865 -0.057408452 -0.024980444 0.4662095
20081203 -0.4580576 -0.079540536 -0.024361668 0.46555018
20081204 -0.45278558 -0.101439334 -0.023671458 0.4646128
20081205 -0.4461778 -0.1230388 -0.022911418 0.46339846
20081206 -0.43824345 -0.14427234 -0.02208326 0.46190855
20081207 -0.42899346 -0.16507265 -0.021188807 0.4601449
20081208 -0.41844073 -0.18537152 -0.020230012 0.4581097
20081209 -0.40660036 -0.20509978 -0.019208966 0.4558056
20081210 -0.3934897 -0.22418705 -0.018127913 0.4532357
20081211 -0.3791287 -0.2425617 -0.01698926 0.45040357
20081212 -0.36354017 -0.2601507 -0.015795607 0.4473135
20081213 -0.34675008 -0.27687952 -0.01454975 0.44397023
20081214 -0.32878783 -0.29267198 -0.013254717 0.44037938
20081215 -0.30968678 -0.30745026 -0.011913784 0.43654728
20081216 -0.2894847 -0.3211349 -0.010530501 0.4324811
20081217 -0.26822412 -0.33364472 -0.009108725 0.42818916
20081218 -0.2459531 -0.34489682 -0.007652648 0.4236807
20081219 -0.2227257 -0.35480696 -0.00616683 0.4189663
20081220 -0.1986028 -0.36328945 -0.0046562366 0.4140579
20081221 -0.17365275 -0.37025753 -0.0031262739 0.40896907
20081222 -0.14795226 -0.37562394 -0.0015828306 0.4037149
20081223 -0.12158729 -0.37930125 -3.231583e-05 0.39831257
20081224 -0.09465392 -0.3812026 0.0015183006 0.39278123
20081225 -0.06725936 -0.38124275 0.0030614506 0.3871424
20081226 -0.03952289 -0.37933904 0.0045889337 0.38142002
20081227 -0.011576823 -0.375413 0.0060918895 0.37564087
20081228 0.01643265 -0.3693919 0.007560781 0.3698345
20081229 0.044344738 -0.36121082 0.00898539 0.3640336
20081230 0.07198355 -0.35081533 0.010354833 0.35827398
20081231 0.09915795 -0.33816394 0.011657605 0.35259473
20090101 0.12566213 -0.32323134 0.012881662 0.34703806
20090102 0.15127532 -0.30601248 0.0140144825 0.34164932
20090103 0.1757652 -0.28652528 0.01504331 0.3364765
20090104 0.1988893 -0.26481506 0.015955305 0.33156982
20090105 0.22039877 -0.24095811 0.016737826 0.326981
20090106 0.24004312 -0.21506472 0.017378751 0.32276237
20090107 0.2575759 -0.18728189 0.017866846 0.31896564
20090108 0.27276158 -0.15779455 0.018192168 0.31564054
20090109 0.2853829 -0.12682545 0.018346488 0.3128333
20090110 0.2952488 -0.09463326 0.018323697 0.31058502
20090111 0.30220208 -0.061508615 0.018120162 0.30893
20090112 0.30612633 -0.02776821 0.017735017 0.30789435
20090113 0.30695134 0.006252921 0.01717033 0.3074948
20090114 0.3046567 0.04021046 0.016431134 0.30773783
20090115 0.299273 0.0737606 0.01552533 0.3086195
20090116 0.2908806 0.10656987 0.014463429 0.31012553
20090117 0.2796059 0.1383242 0.013258195 0.312232
20090118 0.26561594 0.16873667 0.011924184 0.31490645
20090119 0.24911131 0.19755337 0.01047725 0.31810933
20090120 0.2303183 0.2245574 0.008934034 0.32179552
20090121 0.20948094 0.24957065 0.007311472 0.325916
20090122 0.18685335 0.27245387 0.005626375 0.33041936
20090123 0.16269286 0.2931052 0.0038950618 0.33525333
20090124 0.13725413 0.31145746 0.0021330789 0.34036598
20090125 0.110784516 0.32747474 0.00035499514 0.34570658
20090126 0.08352035 0.34114867 -0.0014257303 0.35122657
20090127 0.055684526 0.35249442 -0.00319682 0.35687995
20090128 0.02748487 0.36154675 -0.0049471976 0.3626237
20090129 -0.0008866894 0.3683566 -0.0066669704 0.36841798
20090130 -0.029254325 0.3729876 -0.008347383 0.37422618
20090131 -0.05745806 0.3755133 -0.009980748 0.38001484
20090201 -0.085353196 0.3760147 -0.011560375 0.38575366
20090202 -0.11280947 0.37457815 -0.013080479 0.3914152
